SIG-REWRITE	FIELD	arena.vl	struct Handle		index	i32 -> usize
SIG-REWRITE	FIELD	arena.vl	struct Arena		free	List<i32> -> List<usize>
SIG-REWRITE	SIG	arena.vl	impl Arena<type T>	len	<ret>	i32 -> usize
SIG-REWRITE	FIELD	binary.vl	struct BinaryWriter		used	i32 -> usize
SIG-REWRITE	SIG	binary.vl	impl BinaryWriter	ensure	extra	i32 -> usize
SIG-REWRITE	FIELD	binary.vl	struct BinaryReader		cursor	i32 -> usize
SIG-REWRITE	SIG	binary.vl	impl BinaryReader	expect	count	i32 -> usize
SIG-REWRITE	SIG	binary.vl	impl BinaryReader	read_length	<ret>	i32 -> usize
SIG-REWRITE	SIG	storage.vl	impl Storage	len	<ret>	i32 -> usize
SIG-REWRITE	SIG	storage.vl	impl Storage	key_at	index	i32 -> usize
SIG-REWRITE	SIG	storage.vl	impl Storage	raw_key_at	index	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	alloc	size	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	len	<ret>	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	get	index	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	get_u32	index	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	fill	from	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	fill	to	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	copy_into	offset	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	slice	from	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	slice	to	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	set	index	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	fill_u32	from	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	fill_u32	to	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl Bytes	set_u32	index	i32 -> usize
SIG-REWRITE	SIG	bytes.vl	impl DataView	read_f64	offset	i32 -> usize
