area	kind	file	line	function	detail
rustconsts	NEG1	crates/vilan-cli/tests/debug_dumps.rs#const@51	10	main	-1
rustconsts	NEG1	crates/vilan-cli/tests/hmr_swap.rs#const@168	60	main	-1
rustconsts	NEG1	crates/vilan-cli/tests/hmr_swap.rs#const@246	60	main	-1
rustconsts	NEG1	crates/vilan-cli/tests/reactive_channels.rs#const@38	42	held_by	-1
rustconsts	NEG1	crates/vilan-cli/tests/reactive_channels.rs#const@38	51	watch	-1
rustconsts	NEG1	crates/vilan-cli/tests/reactive_channels.rs#const@2372	35	main	-1
rustconsts	NEG1	crates/vilan-cli/tests/reactive_channels.rs#const@2372	51	main	-1
rustconsts	DOWNLOOP	crates/vilan-cli/tests/storage_handle.rs#const@117	38	main	for index > 0
rustconsts	DEC	crates/vilan-cli/tests/storage_handle.rs#const@117	43	main	index -= 1 (loop depth 1)
rustconsts	NEG1	crates/vilan-core/tests/inference/backed_enums.rs#const@1227	7	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/backed_enums.rs#const@2730	13	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/backed_enums.rs#const@2730	17	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/backed_enums.rs#const@2759	11	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/backed_enums.rs#const@2810	13	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/backed_enums.rs#const@2940	13	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/backed_enums.rs#const@2940	17	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@805	16	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@834	6	read	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@862	11	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@862	12	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@964	14	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@991	13	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@991	16	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@1020	14	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@1136	13	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@1136	19	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@1136	20	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@1169	8	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@1169	10	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@1169	12	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@1169	13	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@2557	9	grow	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@2584	13	step	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@2616	14	step	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@2652	16	peek	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@2718	12	peek	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@9282	6	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/borrows.rs#const@9424	6	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@84	18	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@84	19	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@115	12	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@115	13	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@115	14	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@186	7	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@186	8	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@186	9	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@490	9	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@1110	15	main	-1
rustconsts	DEC	crates/vilan-core/tests/inference/iterators.rs#const@1556	10	next	self.remaining -= 1 (loop depth 0)
rustconsts	DEC	crates/vilan-core/tests/inference/iterators.rs#const@1638	13	tick	self.at -= 1 (loop depth 0)
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@2235	7	probe	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@2984	9	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/iterators.rs#const@2984	10	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/macros.rs#const@2045	6	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/markdown.rs#const@3241	15	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/markdown.rs#const@3273	3	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/markdown.rs#const@3287	3	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/markdown.rs#const@3330	3	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/markdown.rs#const@3585	4	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/markdown.rs#const@3585	5	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/markdown.rs#const@3585	6	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/platform.rs#const@4097	7	main	-1
rustconsts	DOWNLOOP	crates/vilan-core/tests/inference/platform.rs#const@4205	12	main	for n > 0
rustconsts	DEC	crates/vilan-core/tests/inference/platform.rs#const@9057	4	main	c -= 3 (loop depth 0)
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@610	9	sign	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@2503	14	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@2640	14	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@2692	15	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@2720	15	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4223	7	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4223	9	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4243	10	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4269	11	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4269	15	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4437	7	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4526	7	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4572	9	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4572	10	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/returns.rs#const@4591	7	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/std_surface.rs#const@59	7	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/std_surface.rs#const@59	8	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/std_surface.rs#const@245	4	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/std_surface.rs#const@339	9	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/std_surface.rs#const@1136	21	main	-1
rustconsts	NEG1	crates/vilan-core/tests/inference/std_surface.rs#const@1170	31	main	-1
rustconsts	DEC	crates/vilan-core/tests/inference/traits.rs#const@7002	28	next	self.n -= 1 (loop depth 0)
kolt	NEG1	/home/reed/code/kolt/src/lib/rotary.vl	29	bind	-1
kolt	NEG1	/home/reed/code/kolt/src/lib/rotary.vl	41	bind	-1
